job_name,best_overlap,true_overlap,section
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_197,0.259,2.0,AFminD (50)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.255,8.0,AFminD (50)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.255,8.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.255,8.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.255,8.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.255,8.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.255,8.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.255,8.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.255,8.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.255,8.0,AFminD (50)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.255,8.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.25,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.25,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.25,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.25,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.25,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.232,9.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.232,9.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.232,9.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.232,9.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_250,0.232,9.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (30)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (30)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (30)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (30)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_65,0.224,12.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_103,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_103,0.222,1.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_164,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_71,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_164,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_164,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_164,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_164,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_71,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_71,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_71,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_71,0.222,1.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (100)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_103,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_103,0.222,1.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_103,0.222,1.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (100)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (50)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (100)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (50)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (50)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.222,12.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (50)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (50)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (50)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (50)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_8,0.218,14.0,AFminD (50)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,7.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,7.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_67,0.216,6.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,7.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,7.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_67,0.216,6.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_67,0.216,6.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_67,0.216,6.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_52,0.216,6.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_52,0.216,6.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.216,8.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.216,8.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.216,8.0,AFminD (50)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,7.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_67,0.216,6.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_52,0.216,6.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.216,8.0,AFminD (50)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,8.0,AFminD (100)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,8.0,AFminD (100)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,8.0,AFminD (100)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,8.0,AFminD (100)
P03182_full_1-191_P55957_BIDB_3-192_A_88,0.216,8.0,AFminD (100)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_52,0.216,6.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_52,0.216,6.0,AFminD (50)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.216,8.0,AFminD (50)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.215,17.0,AFminD (30)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.215,17.0,AFminD (30)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.215,17.0,AFminD (30)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.215,17.0,AFminD (30)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.215,17.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.214,7.0,AFminD (100)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_220,0.214,7.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.214,7.0,AFminD (100)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.214,7.0,AFminD (100)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_220,0.214,7.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_220,0.214,7.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.214,7.0,AFminD (100)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.214,7.0,AFminD (100)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_220,0.214,7.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_220,0.214,7.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_56,0.196,5.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_56,0.196,5.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_56,0.196,5.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_56,0.196,5.0,AFminD (30)
P03182_full_1-191_P55957_BIDB_3-192_A_56,0.196,5.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.19,11.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.19,11.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.19,11.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.19,11.0,AFminD (30)
P06136_full_1-276_P0A6S5_SFI_11-89_A_252,0.19,11.0,AFminD (30)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.184,14.0,AFminD (100)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.184,14.0,AFminD (100)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.184,14.0,AFminD (100)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.184,14.0,AFminD (100)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.184,14.0,AFminD (100)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (100)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (50)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (30)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (30)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (30)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (30)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (30)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (100)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (100)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (100)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (50)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (100)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (50)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (50)
P25685_full_1-340_Q9Y266_NDCD_96-156_A_181,0.176,8.0,AFminD (50)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.175,13.0,AFminD (50)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.175,13.0,AFminD (50)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.175,13.0,AFminD (50)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.175,13.0,AFminD (50)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.175,13.0,AFminD (50)
Q06672_full_1-205_P39938_RPS_1-107_A_98,0.173,14.0,AFminD (100)
Q06672_full_1-205_P39938_RPS_1-107_A_98,0.173,14.0,AFminD (100)
Q06672_full_1-205_P39938_RPS_1-107_A_98,0.173,14.0,AFminD (100)
Q06672_full_1-205_P39938_RPS_1-107_A_98,0.173,14.0,AFminD (100)
Q06672_full_1-205_P39938_RPS_1-107_A_98,0.173,14.0,AFminD (100)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.172,16.0,AFminD (50)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.172,16.0,AFminD (50)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.172,16.0,AFminD (50)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.172,16.0,AFminD (50)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_90,0.172,16.0,AFminD (50)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_116,0.171,8.0,AFminD (100)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_116,0.171,8.0,AFminD (100)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_116,0.171,8.0,AFminD (100)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_116,0.171,8.0,AFminD (100)
Q14657_full_1-143_Q9BXV9_DOUFD_3-98_A_116,0.171,8.0,AFminD (100)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.17,12.0,AFminD (30)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.17,12.0,AFminD (30)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.17,12.0,AFminD (30)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.17,12.0,AFminD (30)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.17,12.0,AFminD (30)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.165,12.0,AFminD (30)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.165,12.0,AFminD (30)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.165,12.0,AFminD (30)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.165,12.0,AFminD (30)
Q76RI8_full_1-175_Q9BXH1_B2BC3PUMOA_2-193_A_88,0.165,12.0,AFminD (30)
Q9DHU6_full_1-176_Q9BXH1_B2BC3PUMOA_2-193_A_91,0.162,11.0,AFminD (100)
Q9DHU6_full_1-176_Q9BXH1_B2BC3PUMOA_2-193_A_91,0.162,11.0,AFminD (100)
Q9DHU6_full_1-176_Q9BXH1_B2BC3PUMOA_2-193_A_91,0.162,11.0,AFminD (100)
Q9DHU6_full_1-176_Q9BXH1_B2BC3PUMOA_2-193_A_91,0.162,11.0,AFminD (100)
Q9DHU6_full_1-176_Q9BXH1_B2BC3PUMOA_2-193_A_91,0.162,11.0,AFminD (100)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_49,0.161,9.0,AFminD (30)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_36,0.161,10.0,AFminD (100)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_36,0.161,10.0,AFminD (100)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_36,0.161,10.0,AFminD (100)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_36,0.161,10.0,AFminD (100)
Q7CP72_full_1-95_Q7CP71_BAOTITAS_40-93_A_36,0.161,10.0,AFminD (100)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_49,0.161,9.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_49,0.161,9.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_49,0.161,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (30)
Q2G286_full_1-88_Q2G285_APYTITAS_1-74_A_49,0.161,9.0,AFminD (30)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (50)
A4I3C9_full_1-376_A4HYJ9_BR_110-131_A_190,0.161,4.0,AFminD (30)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (100)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (50)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (50)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (50)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (50)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (50)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (100)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (100)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (100)
A0A3F2YKH3_full_1-176_Q07812_ARPB2F_63-158_A_85,0.16,11.0,AFminD (100)
