pdb_id	idp_uniprot	receptor_uniprot	chain	chain_id	domain_name	domain_id	domain_location	max_sequence_overlap	perc_sequence_overlap_pdb	perc_max_overlap_domain	max_interacting_residues	perc_interacting_residues
6KK3	Q32ZE1:1:38:1418	Q32ZE1:1:154:1515	receptor	B	Peptidase S7, Flavivirus NS3 serine protease	PF00949	1515-1665	90	0.5844155844155844	0.5960264900662252	37	0.5285714285714286
6OP8	P87238:5:64:152	O00102:1:166:1	receptor	A	Ubiquitin-conjugating enzyme	PF00179	9-158	150	0.8928571428571429	1.0	28	0.7777777777777778
6U1X	P03520:1:265:1	P03523:1:2109:1	idp	P	Vesiculovirus phosphoprotein	PF00922	4-263	57	1.0	0.21923076923076923	28	1.0
6U1X	P03520:1:265:1	P03523:1:2109:1	receptor	A	Mononegavirales RNA dependent RNA polymerase	PF00946	38-1069	239	0.11518072289156626	0.2315891472868217	10	0.14925373134328357
6U1X	P03520:1:265:1	P03523:1:2109:1	receptor	A	Virus-capping methyltransferase, connector domain	PF21080	1358-1555	198	0.09542168674698795	1.0	21	0.31343283582089554
6U1X	P03520:1:265:1	P03523:1:2109:1	receptor	A	Virus-capping methyltransferase, C-terminal	PF21081	1893-2013	121	0.05831325301204819	1.0	17	0.2537313432835821
7AD3	P18852:1:109:2	P18851:1:423:1	idp	G	GGL domain	PF00631	28-110	23	1.0	0.27710843373493976	21	1.0
7AD3	P18852:1:109:2	P18851:1:423:1	receptor	F	G protein beta WD-40 repeat protein	PF25391	38-309	250	0.6868131868131868	0.9191176470588235	20	0.7142857142857143
7BK4	Q15596:1:28:686	P19793:5:240:223	idp	B	Steroid receptor coactivator	PF08832	636-709	20	1.0	0.2702702702702703	15	1.0
7BK4	Q15596:1:28:686	P19793:5:240:223	receptor	A	Ligand-binding domain of nuclear hormone receptor	PF00104	265-441	177	0.7662337662337663	1.0	14	0.7368421052631579
7EV8	P06162:1:42:1	P06159:1:346:29	receptor	A	Paramyxovirus nucleocapsid protein	PF00973	10-493	329	0.9508670520231214	0.6797520661157025	22	1.0
7JPN	Q7Z6K5:1:34:193	P61157:1:413:3	idp	H	Arp2/3-interacting proteins Arpin	PF10574	1-224	32	0.9411764705882353	0.14285714285714285	24	0.9230769230769231
7JPN	Q7Z6K5:1:34:193	P61157:1:413:3	receptor	A	Actin	PF00022	5-238	234	0.5665859564164649	1.0	14	0.34146341463414637
7JPN	Q7Z6K5:1:34:193	P61157:1:413:3	receptor	A	Actin	PF00022	268-409	142	0.34382566585956414	1.0	20	0.4878048780487805
7N9H	Q13148:1:24:79	P52292:1:428:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	109-149	21	0.04976303317535545	0.5121951219512195	5	0.09259259259259259
7N9H	Q13148:1:24:79	P52292:1:428:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	151-190	40	0.0947867298578199	1.0	6	0.1111111111111111
7N9H	Q13148:1:24:79	P52292:1:428:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	324-364	34	0.08056872037914692	0.8292682926829268	6	0.1111111111111111
7NJ1	O95997:1:202:1	Q14674:1:2120:1	idp	B	Securin sister-chromatid separation inhibitor	PF04856	1-190	56	1.0	0.29473684210526313	53	1.0
7NJ1	O95997:1:202:1	Q14674:1:2120:1	receptor	A	Separin, protease domain	PF03568	1722-2069	315	0.16773162939297126	0.9051724137931034	27	0.23684210526315788
7P0U	O00198:1:26:26	A0A0R8HV90:6:143:1	idp	G	Activator of apoptosis harakiri	PF15196	1-91	21	1.0	0.23076923076923078	15	1.0
7QOX	P01042:2:28:582	P03952:9:359:20	receptor	B	PAN domain	PF00024	22-104	83	0.23184357541899442	1.0	22	0.4888888888888889
7QOX	P01042:2:28:582	P03952:9:359:20	receptor	B	PAN domain	PF00024	111-193	50	0.13966480446927373	0.6024096385542169	15	0.3333333333333333
7QTW	P55957:1:34:76	Q76RI8:6:146:1	idp	B	BH3 interacting domain (BID)	PF06393	3-192	28	1.0	0.14736842105263157	16	1.0
7QTW	P55957:1:34:76	Q76RI8:6:146:1	receptor	A	Apoptosis regulator proteins, Bcl-2 family	PF00452	41-134	76	0.5205479452054794	0.8085106382978723	24	0.8275862068965517
7XVA	C9JGY8:1:25:27	P49116:1:256:341	receptor	A	Ligand-binding domain of nuclear hormone receptor	PF00104	373-566	194	0.8151260504201681	1.0	14	0.4827586206896552
8A3T	P14724:1:124:1	P09798:1:840:1	idp	W	Anaphase-promoting complex APC subunit CDC26	PF10471	1-85	37	1.0	0.43529411764705883	20	1.0
8A3T	P14724:1:124:1	P09798:1:840:1	receptor	K	Tetratricopeptide repeat	PF13181	709-741	33	0.062264150943396226	1.0	7	0.11864406779661017
8A3T	P14724:1:124:1	P09798:1:840:1	receptor	K	Tetratricopeptide repeat	PF13424	635-702	68	0.12830188679245283	1.0	14	0.23728813559322035
8B8V	P22363:1:68:1	Q8JXF6:1:427:24	idp	B	Phosphoprotein	PF03012	1-296	36	1.0	0.12162162162162163	26	1.0
8B8V	P22363:1:68:1	Q8JXF6:1:427:24	receptor	A	Rhabdovirus nucleocapsid protein	PF00945	11-428	311	0.7387173396674585	0.7440191387559809	44	1.0
6B7G	Q6W2J9:2:32:1176	P42568:2:69:500	receptor	A	ANC1 homology domain (AHD)	PF17793	503-563	61	0.8714285714285714	1.0	27	1.0
6LQZ	P32597:2:58:1183	P35189:2:71:174	receptor	A	Bromodomain extra-terminal - transcription regulation	PF17035	181-241	61	0.8591549295774648	1.0	25	0.9259259259259259
6XFL	P35672:5:43:520	P0CL43:5:78:70	receptor	A	InvH outer membrane lipoprotein	PF04741	61-140	71	0.8987341772151899	0.8875	29	1.0
6TL0	Q96NW4:6:55:692	Q9QZ88:11:182:1	receptor	A	Calcineurin-like phosphoesterase superfamily domain	PF12850	1-156	156	0.8125	1.0	9	0.6923076923076923
7OVC	Q9GZZ9:3:24:381	Q9Y3C8:1:167:1	receptor	A	Ubiquitin-fold modifier-conjugating enzyme 1	PF08694	6-160	155	0.9281437125748503	1.0	30	1.0
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	104-144	41	0.0985576923076923	1.0	6	0.1
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	146-184	39	0.09375	1.0	5	0.08333333333333333
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	189-229	41	0.0985576923076923	1.0	5	0.08333333333333333
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	233-271	39	0.09375	1.0	5	0.08333333333333333
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	274-312	39	0.09375	1.0	6	0.1
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	315-355	41	0.0985576923076923	1.0	9	0.15
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	357-396	40	0.09615384615384616	1.0	5	0.08333333333333333
6BW9	P0C1C6:2:40:409	O00629:2:458:64	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	402-439	38	0.09134615384615384	1.0	5	0.08333333333333333
6DXO	F2R912:1:91:1	F2R911:1:151:85	receptor	A	Sigma-70 region 2	PF04542	102-169	68	0.4689655172413793	1.0	18	0.47368421052631576
6DXO	F2R912:1:91:1	F2R911:1:151:85	receptor	A	Sigma-70, region 4	PF08281	201-252	52	0.3586206896551724	1.0	10	0.2631578947368421
6FBX	Q4V925:1:26:88	Q8UWD5:5:148:1	idp	B	Pro-apoptotic Bcl-2 protein, BAD	PF10514	49-135	22	1.0	0.25287356321839083	20	1.0
6FBX	Q4V925:1:26:88	Q8UWD5:5:148:1	receptor	A	Apoptosis regulator proteins, Bcl-2 family	PF00452	35-136	102	0.6891891891891891	1.0	24	0.8888888888888888
6HLN	Q68T42:4:60:1438	Q9H3P7:2:165:364	idp	B	Poliovirus 3A protein like	PF08727	1439-1498	43	1.0	0.7166666666666667	27	1.0
6HLN	Q68T42:4:60:1438	Q9H3P7:2:165:364	receptor	A	Golgi-dynamics membrane-trafficking	PF13897	397-527	131	0.7891566265060241	1.0	26	0.65
6IDX	Q3UHD1:1:25:1471	Q96JJ3:5:520:1	receptor	A	ELMO/CED-12 family	PF04727	295-474	180	0.3522504892367906	1.0	9	0.23076923076923078
6IDX	Q3UHD1:1:25:1471	Q96JJ3:5:520:1	receptor	A	ELMO, armadillo-like helical domain	PF11841	115-272	158	0.30919765166340507	1.0	24	0.6153846153846154
6JJW	Q15678:5:28:428	Q5SXA9:7:128:5	receptor	A	WW domain	PF00397	8-37	30	0.33707865168539325	1.0	14	0.56
6JJW	Q15678:5:28:428	Q5SXA9:7:128:5	receptor	A	WW domain	PF00397	55-84	30	0.33707865168539325	1.0	11	0.44
6K06	Q08379:6:48:13	P52293:5:429:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	109-149	41	0.0971563981042654	1.0	7	0.1346153846153846
6K06	Q08379:6:48:13	P52293:5:429:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	151-190	40	0.0947867298578199	1.0	5	0.09615384615384616
6K06	Q08379:6:48:13	P52293:5:429:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	248-280	33	0.07819905213270142	1.0	5	0.09615384615384616
6K06	Q08379:6:48:13	P52293:5:429:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	283-321	39	0.0924170616113744	1.0	5	0.09615384615384616
6K06	Q08379:6:48:13	P52293:5:429:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	324-364	41	0.0971563981042654	1.0	8	0.15384615384615385
6K06	Q08379:6:48:13	P52293:5:429:70	receptor	C	Armadillo/beta-catenin-like repeat	PF00514	367-405	39	0.0924170616113744	1.0	5	0.09615384615384616
6K8K	Q9M280:1:65:33	Q96524:1:612:1	receptor	G	DNA photolyase	PF00875	7-160	71	0.14343434343434344	0.461038961038961	11	0.1864406779661017
6K8K	Q9M280:1:65:33	Q96524:1:612:1	receptor	G	FAD binding domain of DNA photolyase	PF03441	287-485	119	0.2404040404040404	0.5979899497487438	19	0.3220338983050847
6QJ3	G0SBJ6:4:194:225	G0SB82:2:1100:3	idp	B	Condensin complex subunit 2	PF05786	21-889	59	1.0	0.06789413118527042	46	1.0
6QJ3	G0SBJ6:4:194:225	G0SB82:2:1100:3	receptor	A	non-SMC mitotic condensation complex subunit 1	PF12717	1092-1251	159	0.14095744680851063	0.99375	19	0.2714285714285714
6SH6	O15226:5:63:541	O43143:7:683:113	idp	B	G-patch domain	PF01585	552-593	41	1.0	0.9761904761904762	35	1.0
6SH6	O15226:5:63:541	O43143:7:683:113	receptor	A	Helicase conserved C-terminal domain	PF00271	337-476	140	0.20527859237536658	1.0	15	0.23809523809523808
6SH6	O15226:5:63:541	O43143:7:683:113	receptor	A	Helicase associated domain (HA2), winged-helix	PF04408	539-567	29	0.04252199413489736	1.0	9	0.14285714285714285
7ADT	Q07812:1:28:50	A0A0R8HV90:6:143:1	idp	C	Apoptosis regulator proteins, Bcl-2 family	PF00452	63-158	15	0.5769230769230769	0.15625	12	0.7058823529411765
7CNW	P0A8K1:2:33:255	P0A8K1:1:253:1	idp	B	Phosphatidylserine decarboxylase	PF02666	63-281	28	0.8235294117647058	0.1278538812785388	22	0.8148148148148148
7CNW	P0A8K1:2:33:255	P0A8K1:1:253:1	receptor	A	Phosphatidylserine decarboxylase	PF02666	63-281	191	0.7549407114624506	0.8721461187214612	59	0.9833333333333333
7CRU	P61978:3:21:18	P52292:1:457:73	idp	B	ROKNT (NUC014) domain	PF08067	1-43	20	1.0	0.46511627906976744	20	1.0
7CRU	P61978:3:21:18	P52292:1:457:73	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	109-149	41	0.09255079006772009	1.0	5	0.0847457627118644
7CRU	P61978:3:21:18	P52292:1:457:73	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	151-190	40	0.09029345372460497	1.0	8	0.13559322033898305
7CRU	P61978:3:21:18	P52292:1:457:73	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	283-321	39	0.08803611738148984	1.0	5	0.0847457627118644
7CRU	P61978:3:21:18	P52292:1:457:73	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	324-364	41	0.09255079006772009	1.0	11	0.1864406779661017
7CRU	P61978:3:21:18	P52292:1:457:73	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	367-405	39	0.08803611738148984	1.0	6	0.1016949152542373
7P9W	Q9BXH1:1:26:130	P03182:14:160:1	idp	B	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis	PF15826	2-193	21	1.0	0.109375	18	1.0
7P9W	Q9BXH1:1:26:130	P03182:14:160:1	receptor	A	Apoptosis regulator proteins, Bcl-2 family	PF00452	55-150	96	0.6153846153846154	1.0	25	0.9615384615384616
7QTX	Q9BXH1:1:26:130	Q76RI8:6:146:1	idp	B	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis	PF15826	2-193	25	1.0	0.13020833333333334	17	1.0
7QTX	Q9BXH1:1:26:130	Q76RI8:6:146:1	receptor	A	Apoptosis regulator proteins, Bcl-2 family	PF00452	41-134	76	0.5428571428571428	0.8085106382978723	28	0.875
7X9C	P01298:1:36:30	P50391:1:342:1	idp	P	Pancreatic hormone peptide	PF00159	31-66	35	0.9722222222222222	0.9722222222222222	20	0.9523809523809523
7X9C	P01298:1:36:30	P50391:1:342:1	receptor	R	7 transmembrane receptor (rhodopsin family)	PF00001	58-322	182	0.5928338762214984	0.6867924528301886	26	0.6341463414634146
7YON	P10082:1:34:31	P49146:3:380:2	idp	L	Pancreatic hormone peptide	PF00159	30-65	34	1.0	0.9444444444444444	17	1.0
7YON	P10082:1:34:31	P49146:3:380:2	receptor	R	7 transmembrane receptor (rhodopsin family)	PF00001	67-325	130	0.4304635761589404	0.5019305019305019	16	0.41025641025641024
7ZZQ	D5QCK0:29:61:285	Q76KJ6:4:155:2	idp	b	Cellulose-complementing protein A	PF17040	228-343	21	1.0	0.1810344827586207	17	1.0
7ZZQ	D5QCK0:29:61:285	Q76KJ6:4:155:2	receptor	N	Cellulose synthase subunit D	PF03500	13-122	110	0.7482993197278912	1.0	18	0.782608695652174
7PKU	P0DTC9:1:73:191	P0DTD1:1:96:834	idp	B	Coronavirus nucleocapsid	PF00937	45-381	73	1.0	0.2166172106824926	26	1.0
7PKU	P0DTC9:1:73:191	P0DTD1:1:96:834	receptor	A	Betacoronavirus replicase NSP3, N-terminal	PF12379	880-1050	50	0.5208333333333334	0.29239766081871343	9	0.3103448275862069
5NT1	Q14258:4:190:190	P03496:4:151:80	idp	E	TRIM protein coiled-coil region	PF25600	217-350	134	0.7745664739884393	1.0	5	1.0
5WEZ	B7UM99:15:49:32	P21244:3:137:2	idp	B	Translocated intimin receptor (Tir) N-terminus	PF07490	1-270	41	1.0	0.15185185185185185	27	1.0
5WEZ	B7UM99:15:49:32	P21244:3:137:2	receptor	A	Tir chaperone protein (CesT) family	PF05932	8-123	116	0.8992248062015504	1.0	36	1.0
5XLN	P26639:1:45:30	O60573:1:190:45	receptor	A	Eukaryotic initiation factor 4E	PF01652	55-214	160	0.9142857142857143	1.0	19	0.95
6ABO	Q0D2I5:7:76:450	Q13426:15:213:1	receptor	A	XRCC4 coiled-coil	PF21924	117-194	78	0.36619718309859156	1.0	21	0.7
6HM3	Q09761:3:28:629	P32372:1:186:1	idp	B	DNA replication regulator SLD3, STD domain	PF08639	326-677	24	0.96	0.06818181818181818	7	0.875
6HM3	Q09761:3:28:629	P32372:1:186:1	receptor	A	BRCA1 C Terminus (BRCT) domain	PF00533	3-75	72	0.39344262295081966	0.9863013698630136	11	1.0
6HOM	M9PCL9:1:26:813	Q92600:7:267:19	receptor	C	Cell differentiation family, Rcd1-like	PF04078	25-283	259	0.955719557195572	1.0	33	1.0
6JH9	Q5NBX1:1:23:1183	P68135:1:377:1	idp	B	WH2 motif	PF02205	1186-1210	6	0.20689655172413793	0.24	5	0.22727272727272727
6JH9	Q5NBX1:1:23:1183	P68135:1:377:1	receptor	A	Actin	PF00022	5-377	370	1.0	0.9919571045576407	42	1.0
6JMU	Q8VI36:10:23:260	Q68FF6:7:131:640	idp	C	Paxillin family	PF03535	5-277	18	0.8571428571428571	0.06593406593406594	13	0.9285714285714286
6JMU	Q8VI36:10:23:260	Q68FF6:7:131:640	receptor	A	G protein-coupled receptor kinase-interacting protein 1 C term	PF12205	652-764	113	0.889763779527559	1.0	22	0.9166666666666666
6KBM	Q06628:1:129:567	P39968:1:506:10	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	115-154	40	0.07984031936127745	1.0	7	0.1346153846153846
6KBM	Q06628:1:129:567	P39968:1:506:10	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	157-195	39	0.07784431137724551	1.0	7	0.1346153846153846
6KBM	Q06628:1:129:567	P39968:1:506:10	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	197-236	40	0.07984031936127745	1.0	6	0.11538461538461539
6KBM	Q06628:1:129:567	P39968:1:506:10	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	249-280	32	0.06387225548902195	1.0	6	0.11538461538461539
6KBM	Q06628:1:129:567	P39968:1:506:10	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	327-363	37	0.07385229540918163	1.0	5	0.09615384615384616
6KZA	P0AEF0:1:56:1	P0ACB0:1:292:180	receptor	B	DnaB-like helicase C terminal domain	PF03796	206-462	257	0.8801369863013698	1.0	36	0.8372093023255814
6Q67	B8R1T8:1:34:1705	Q6DUB6:2:166:207	receptor	A	Golgi-dynamics membrane-trafficking	PF13897	240-371	132	0.8098159509202454	1.0	25	0.7142857142857143
6S8R	Q7KQM6:1:27:343	P23128:5:168:264	receptor	A	Helicase conserved C-terminal domain	PF00271	282-390	109	0.6526946107784432	1.0	19	0.6551724137931034
6XY4	O00198:1:26:26	A0A3F2YKH3:6:145:1	idp	B	Activator of apoptosis harakiri	PF15196	1-91	24	1.0	0.26373626373626374	18	1.0
6XY4	O00198:1:26:26	A0A3F2YKH3:6:145:1	receptor	A	Apoptosis regulator M11L like	PF11099	10-169	128	0.9624060150375939	0.8	26	1.0
6XY6	Q07812:1:28:50	A0A3F2YKH3:1:145:1	idp	L	Apoptosis regulator proteins, Bcl-2 family	PF00452	63-158	15	0.6	0.15625	12	0.631578947368421
6XY6	Q07812:1:28:50	A0A3F2YKH3:1:145:1	receptor	K	Apoptosis regulator M11L like	PF11099	10-169	129	0.9626865671641791	0.80625	28	1.0
7APO	Q15596:1:28:686	P10276:4:246:176	idp	C	Steroid receptor coactivator	PF08832	636-709	23	0.8846153846153846	0.3108108108108108	13	0.8125
7APO	Q15596:1:28:686	P10276:4:246:176	receptor	A	Ligand-binding domain of nuclear hormone receptor	PF00104	227-399	173	0.7424892703862661	1.0	13	0.7222222222222222
7CQP	Q9QUQ5:3:28:785	P0DP26:3:78:1	receptor	B	EF-hand domain pair	PF13499	12-73	62	0.8266666666666667	1.0	20	0.8333333333333334
7DCP	Q02521:1:185:1	P20095:1:856:12	idp	y	G-patch domain	PF12656	93-152	60	0.6	1.0	26	0.5777777777777777
7DCP	Q02521:1:185:1	P20095:1:856:12	receptor	x	Helicase conserved C-terminal domain	PF00271	431-557	127	0.1483644859813084	1.0	14	0.19718309859154928
7DCP	Q02521:1:185:1	P20095:1:856:12	receptor	x	Helicase associated domain (HA2), winged-helix	PF04408	619-646	28	0.03271028037383177	1.0	15	0.2112676056338028
7DCP	Q02521:1:185:1	P20095:1:856:12	receptor	x	Oligonucleotide/oligosaccharide-binding (OB)-fold	PF07717	775-862	88	0.102803738317757	1.0	6	0.08450704225352113
7F69	Q676U5:5:30:207	Q9Y4P8:5:349:13	receptor	A	PROPPIN	PF21032	44-375	332	0.9458689458689459	1.0	19	1.0
7LEW	Q9Y679:3:32:379	P60604:1:165:1	receptor	A	Ubiquitin-conjugating enzyme	PF00179	8-158	151	0.9207317073170732	1.0	23	0.7931034482758621
7LWH	O95835:1:23:69	P35240:1:339:1	receptor	A	FERM central domain	PF00373	106-222	84	0.26666666666666666	0.717948717948718	15	0.7142857142857143
7OS1	O75554:7:178:199	O75643:5:1735:395	receptor	B	Sec63 Brl domain	PF02889	1812-2123	312	0.1813953488372093	1.0	55	1.0
7P0S	Q9BXH1:1:26:130	A0A0R8HV90:6:143:1	idp	U	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis	PF15826	2-193	24	1.0	0.125	16	1.0
7P33	P55957:1:34:76	P03182:14:160:1	idp	H	BH3 interacting domain (BID)	PF06393	3-192	30	1.0	0.15789473684210525	16	1.0
7P33	P55957:1:34:76	P03182:14:160:1	receptor	C	Apoptosis regulator proteins, Bcl-2 family	PF00452	55-150	96	0.6274509803921569	1.0	22	0.9565217391304348
7Q72	Q9UTR8:5:58:288	Q10295:10:566:1	receptor	A	Poly(A) polymerase predicted RNA binding domain	PF04926	352-541	190	0.3512014787430684	1.0	41	0.9761904761904762
7UI8	S1N325:1:23:625	S1N325:3:123:647	idp	B	T-Q ester bond containing domain	PF18202	511-645	20	0.8695652173913043	0.14814814814814814	20	0.8695652173913043
7UI8	S1N325:1:23:625	S1N325:3:123:647	receptor	A	T-Q ester bond containing domain	PF18202	656-790	107	0.9469026548672567	0.7925925925925926	46	0.9019607843137255
7VD7	Q7CP71:1:44:14	Q7CP72:1:94:2	idp	B	BrnA antitoxin of type II toxin-antitoxin system	PF14384	40-93	18	0.4090909090909091	0.3333333333333333	15	0.46875
7VD7	Q7CP71:1:44:14	Q7CP72:1:94:2	receptor	A	Ribonuclease toxin, BrnT, of type II toxin-antitoxin system	PF04365	7-88	67	0.7127659574468085	0.8170731707317073	28	0.6086956521739131
7XL3	Q9HTR9:5:105:1	Q51561:3:1357:1	idp	G	SutA RNAP-binding domain	PF20661	59-92	32	0.8648648648648649	0.9411764705882353	23	0.8214285714285714
7XL3	Q9HTR9:5:105:1	Q51561:3:1357:1	receptor	C	RNA polymerase Rpb2, domain 2	PF04561	359-459	101	0.07448377581120944	1.0	7	0.16666666666666666
7XL3	Q9HTR9:5:105:1	Q51561:3:1357:1	receptor	C	RNA polymerase beta subunit	PF04563	27-154	128	0.0943952802359882	1.0	26	0.6190476190476191
7XL3	Q9HTR9:5:105:1	Q51561:3:1357:1	receptor	C	RNA polymerase beta subunit	PF04563	460-504	45	0.033185840707964605	1.0	9	0.21428571428571427
7YCJ	P25591:2:55:290	P39968:1:507:9	idp	B	Vacuole-related protein 17	PF17321	6-422	55	0.9821428571428571	0.13189448441247004	23	1.0
7YCJ	P25591:2:55:290	P39968:1:507:9	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	157-195	39	0.07768924302788845	1.0	6	0.125
7YCJ	P25591:2:55:290	P39968:1:507:9	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	197-236	40	0.0796812749003984	1.0	6	0.125
7YCJ	P25591:2:55:290	P39968:1:507:9	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	249-280	32	0.06374501992031872	1.0	5	0.10416666666666667
8A8F	P42073:1:59:348	P32598:2:312:1	receptor	A	Calcineurin-like phosphoesterase	PF00149	57-250	194	0.6576271186440678	1.0	20	0.38461538461538464
8A8F	P42073:1:59:348	P32598:2:312:1	receptor	A	Serine-threonine protein phosphatase N-terminal domain	PF16891	8-55	48	0.16271186440677965	1.0	9	0.17307692307692307
8K00	P49959:6:26:538	P27694:2:120:1	receptor	A	Replication factor-A protein 1, N-terminal domain	PF04057	5-104	100	0.8333333333333334	1.0	23	0.92
8SG7	A0A2Z4K5C4:1:58:112	P52293:51:460:70	receptor	B	Armadillo/beta-catenin-like repeat	PF00514	109-149	41	0.09624413145539906	1.0	6	0.11320754716981132
8SG7	A0A2Z4K5C4:1:58:112	P52293:51:460:70	receptor	B	Armadillo/beta-catenin-like repeat	PF00514	151-190	40	0.09389671361502347	1.0	5	0.09433962264150944
8SG7	A0A2Z4K5C4:1:58:112	P52293:51:460:70	receptor	B	Armadillo/beta-catenin-like repeat	PF00514	283-321	39	0.09154929577464789	1.0	6	0.11320754716981132
8SG7	A0A2Z4K5C4:1:58:112	P52293:51:460:70	receptor	B	Armadillo/beta-catenin-like repeat	PF00514	324-364	41	0.09624413145539906	1.0	9	0.16981132075471697
8SG7	A0A2Z4K5C4:1:58:112	P52293:51:460:70	receptor	B	Armadillo/beta-catenin-like repeat	PF00514	367-405	39	0.09154929577464789	1.0	5	0.09433962264150944
6G04	P39938:7:20:100	Q06672:5:152:1	idp	B	Ribosomal protein S26e	PF01283	1-107	8	0.3076923076923077	0.07476635514018691	7	0.35
6G04	P39938:7:20:100	Q06672:5:152:1	receptor	A	Pre-rRNA-processing protein TSR2	PF10273	32-110	79	0.5064102564102564	1.0	26	0.7222222222222222
5YIP	O70511:1:26:1985	Q8R3R8:7:117:1	receptor	A	Autophagy protein Atg8 ubiquitin like	PF02991	14-116	103	0.8373983739837398	1.0	22	0.9166666666666666
